Checked by|Manual Check 11.19|REASON|pass_checks2|Manual.Check_9.10|most_common_town|file_name
|||FALSE||duxbury|belmonturl5.json
|||FALSE||washington|belmonturl53.json
|||FALSE||cambridge|belmonturl54.json
|||FALSE||bourne|belmonturl50.json
|||FALSE||washington|belmonturl55.json
|||FALSE||salisbury|belmonturl61.json
|||FALSE||norwood|belmonturl56.json
|||FALSE||boston|belmonturl66.json
|||FALSE||boston|belmonturl59.json
|||FALSE||washington|belmonturl57.json
|||FALSE||blackstone|belmonturl62.json
|||FALSE||hudson|belmonturl58.json
|INCLUDE||TRUE|INCLUDE|cambridge|belmonturl65.json
|||FALSE||richmond|belmonturl63.json
|||FALSE||worcester|belmonturl6.json
|||FALSE||washington|belmonturl70.json
|||FALSE||orleans|belmonturl64.json
|||FALSE||orange|belmonturl68.json
|||FALSE||princeton|belmonturl67.json
|INCLUDE||TRUE|INCLUDE|boston|belmonturl7.json
|EXCLUDE||TRUE|EXCLUDE|boston|belmonturl69.json
|||FALSE||weston|belmonturl74.json
|||FALSE||washington|belmonturl72.json
|||FALSE||granville|belmonturl77.json
|||FALSE||princeton|belmonturl75.json
|EXCLUDE||FALSE|EXCLUDE|boston|belmonturl8.json
|||FALSE||washington|belmonturl78.json
|||FALSE||belmont|belmonturl82.json
|||FALSE||florida|belmonturl76.json
|EXCLUDE||TRUE|EXCLUDE|boston|belmonturl80.json
|||FALSE||milford|belmonturl81.json
|||FALSE||boston|belmonturl79.json
|||FALSE||boston|bostonurl1.json
|||FALSE||cambridge|belmonturl83.json
|||FALSE||weston|belmonturl9.json
|||FALSE||cambridge|belmonturl84.json
|INCLUDE||FALSE|INCLUDE|boston|bostonurl11.json
|INCLUDE||TRUE|INCLUDE|cambridge|bostonurl12.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl18.json
|||FALSE||somerville|bostonurl15.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl10.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl19.json
|||FALSE||boston|bostonurl16.json
|EXCLUDE||FALSE|EXCLUDE|boston|bostonurl14.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl2.json
|EXCLUDE||FALSE|EXCLUDE|concord|bostonurl17.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl13.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl20.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl21.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl22.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl26.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl23.json
|INCLUDE||FALSE|INCLUDE|boston|bostonurl30.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl32.json
|INCLUDE||FALSE|INCLUDE|chelsea|bostonurl29.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl31.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl3.json
|INCLUDE||FALSE|INCLUDE|boston|bostonurl25.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl34.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl28.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl24.json
|INCLUDE||TRUE|INCLUDE|brookline|bostonurl27.json
|||FALSE||quincy|bostonurl33.json
|EXCLUDE||FALSE|EXCLUDE|washington|bostonurl35.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl36.json
|INCLUDE||FALSE|INCLUDE|boston|bostonurl4.json
|EXCLUDE||FALSE|EXCLUDE|boston|bostonurl41.json
|INCLUDE||TRUE|INCLUDE|somerville|bostonurl40.json
|EXCLUDE||FALSE|EXCLUDE|lee|bostonurl42.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl45.json
|EXCLUDE||FALSE|EXCLUDE|weston|bostonurl39.json
|EXCLUDE||FALSE|EXCLUDE|salisbury|bostonurl46.json
|INCLUDE||FALSE|INCLUDE|boston|bostonurl38.json
|||FALSE||boston|bostonurl44.json
|EXCLUDE||FALSE|EXCLUDE|boston|bostonurl37.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl48.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl47.json
|INCLUDE||TRUE|INCLUDE|revere|bostonurl43.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl55.json
|||FALSE||chatham|bostonurl50.json
|INCLUDE||FALSE|INCLUDE|cambridge|bostonurl6.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl5.json
|||FALSE||north adams|bostonurl49.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl53.json
|||FALSE||boston|bostonurl51.json
|INCLUDE||FALSE|INCLUDE|winthrop|bostonurl52.json
|||FALSE||newburyport|bostonurl62.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl57.json
|INCLUDE||FALSE|INCLUDE|woburn|bostonurl59.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl60.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl56.json
|||FALSE||shirley|bostonurl64.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl68.json
|||FALSE||washington|bostonurl63.json
|EXCLUDE||FALSE|EXCLUDE|natick|bostonurl70.json
|EXCLUDE||FALSE|EXCLUDE|washington|bostonurl65.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl7.json
|INCLUDE||FALSE|INCLUDE|boston|bostonurl69.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl72.json
|||FALSE||washington|bostonurl66.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl67.json
|||FALSE||springfield|bostonurl71.json
|||FALSE||boston|bostonurl73.json
|||FALSE||None|bostonurl76.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl74.json
|||FALSE||boston|bostonurl81.json
|EXCLUDE||FALSE|EXCLUDE|boston|bostonurl8.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl84.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl82.json
|||FALSE||boston|bostonurl79.json
|EXCLUDE||FALSE|EXCLUDE|boston|bostonurl75.json
|||FALSE||boston|bostonurl80.json
|EXCLUDE||FALSE|EXCLUDE|springfield|bostonurl77.json
|EXCLUDE||FALSE|EXCLUDE|boston|bostonurl78.json
|EXCLUDE||FALSE|EXCLUDE|boston|bostonurl85.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl83.json
|NA||FALSE|NA|brookline|brooklineurl10.json
|||FALSE||worcester|bostonurl89.json
|INCLUDE||TRUE|INCLUDE|boston|bostonurl86.json
|EXCLUDE||TRUE|EXCLUDE|boston|bostonurl87.json
NC|INCLUDE||TRUE|NA|boston|brooklineurl11.json
NC|INCLUDE||TRUE|NA|boston|brooklineurl15.json
|NA||FALSE|NA|brookline|brooklineurl1.json
|INCLUDE||TRUE|INCLUDE|cambridge|bostonurl9.json
|EXCLUDE||FALSE|EXCLUDE|washington|bostonurl88.json
NC|INCLUDE|More of a built environment thing but still relevant I think|TRUE|NA|boston|brooklineurl19.json
|NA||FALSE|NA|boston|brooklineurl14.json
|NA||FALSE|NA|boston|brooklineurl18.json
|NA||FALSE|NA|boston|brooklineurl20.json
|NA||FALSE|NA|boston|brooklineurl16.json
|NA||FALSE|NA|everett|brooklineurl12.json
|NA||FALSE|NA|boston|brooklineurl2.json
|NA||FALSE|NA|cambridge|brooklineurl27.json
|NA||FALSE|NA|oak bluffs|brooklineurl22.json
|NA||FALSE|NA|harvard|brooklineurl26.json
|NA||FALSE|NA|boston|brooklineurl28.json
|NA||FALSE|NA|rowley|brooklineurl23.json
NC|EXCLUDE|A pretty ideal report but for all MA|TRUE|NA|boston|brooklineurl34.json
|NA||FALSE|NA|quincy|brooklineurl17.json
NC|EXCLUDE|Also a pretty ideal report but for all MA|TRUE|NA|boston|brooklineurl35.json
|NA||FALSE|NA|norfolk|brooklineurl25.json
|NA||FALSE|NA|cambridge|brooklineurl3.json
|NA||FALSE|NA|dunstable|brooklineurl29.json
|NA||FALSE|NA|pittsfield|brooklineurl30.json
|NA||FALSE|NA|hudson|brooklineurl37.json
|NA||FALSE|NA|brookline|brooklineurl39.json
NC|INCLUDE||TRUE|NA|boston|brooklineurl31.json
|NA||FALSE|NA|windsor|brooklineurl32.json
|NA||FALSE|NA|cambridge|brooklineurl4.json
NC|INCLUDE|East Boston centric |TRUE|NA|boston|brooklineurl38.json
|NA||FALSE|NA|boston|brooklineurl40.json
NC|EXCLUDE||TRUE|NA|boston|brooklineurl41.json
|NA||FALSE|NA|boston|brooklineurl33.json
NC|EXCLUDE||TRUE|NA|boston|brooklineurl47.json
NC|EXCLUDE|Great report but all MA|TRUE|NA|boston|brooklineurl42.json
NC|EXCLUDE||TRUE|NA|boston|brooklineurl45.json
|NA||FALSE|NA|boston|brooklineurl43.json
|NA||FALSE|NA|bourne|brooklineurl44.json
