most_common_town	n
arlington	2
belmont	1
boston	55
brookline	1
cambridge	12
chelsea	9
everett	3
lexington	1
lynn	3
malden	2
medford	3
melrose	2
milton	2
needham	2
newton	2
quincy	3
reading	2
revere	6
saugus	1
somerville	9
wakefield	2
waltham	1
watertown	3
wilmington	1
winchester	1
winthrop	1
woburn	2
