Checked by|Manual Check|REASON|pass_checks2|duplicated|file_name
|||FALSE|FALSE|belmonturl49.json
|||FALSE|FALSE|belmonturl5.json
|||FALSE|TRUE|belmonturl50.json
|||FALSE|FALSE|belmonturl51.json
|||FALSE|FALSE|belmonturl52.json
|||FALSE|FALSE|belmonturl53.json
|||FALSE|FALSE|belmonturl54.json
|||FALSE|FALSE|belmonturl55.json
|||FALSE|FALSE|belmonturl56.json
|||FALSE|FALSE|belmonturl57.json
|||FALSE|FALSE|belmonturl58.json
|||FALSE|FALSE|belmonturl59.json
|||FALSE|FALSE|belmonturl6.json
|||FALSE|FALSE|belmonturl61.json
|||FALSE|FALSE|belmonturl62.json
|||FALSE|FALSE|belmonturl63.json
|||FALSE|FALSE|belmonturl64.json
AJ|INCLUDE|link doesnt work but this one does: http://envision.cambridgema.gov/wp-content/uploads/2019/06/201906_EnvisionCambridge-Final-Report.pdf|TRUE|FALSE|belmonturl65.json
|||FALSE|FALSE|belmonturl66.json
|||FALSE|FALSE|belmonturl67.json
|||FALSE|FALSE|belmonturl68.json
NC|EXCLUDE|Not just ACRES towns|TRUE|FALSE|belmonturl69.json
NC|INCLUDE||TRUE|FALSE|belmonturl7.json
|||FALSE|TRUE|belmonturl70.json
|||FALSE|FALSE|belmonturl72.json
|||FALSE|FALSE|belmonturl74.json
|||FALSE|FALSE|belmonturl75.json
|||FALSE|FALSE|belmonturl76.json
|||FALSE|FALSE|belmonturl77.json
|||FALSE|FALSE|belmonturl78.json
|||FALSE|FALSE|belmonturl79.json
AJ|EXCLUDE|HOWEVER: this is the same paper as belmonturl69, just a different url|TRUE|TRUE|belmonturl8.json
AJ|EXCLUDE|off topic|TRUE|FALSE|belmonturl80.json
|||FALSE|FALSE|belmonturl81.json
|||FALSE|FALSE|belmonturl82.json
|||FALSE|FALSE|belmonturl83.json
|||FALSE|FALSE|belmonturl84.json
|||FALSE|FALSE|belmonturl9.json
|||FALSE|FALSE|bostonurl1.json
CM|INCLUDE||TRUE|FALSE|bostonurl10.json
CM|INCLUDE||FALSE|FALSE|bostonurl11.json
NC|INCLUDE||TRUE|FALSE|bostonurl12.json
CM|INCLUDE||TRUE|FALSE|bostonurl13.json
CM|EXCLUDE|Industry|FALSE|FALSE|bostonurl14.json
|||FALSE|TRUE|bostonurl15.json
|||FALSE|FALSE|bostonurl16.json
CM|EXCLUDE|Not ACRES town|FALSE|FALSE|bostonurl17.json
CM|INCLUDE||TRUE|FALSE|bostonurl18.json
NC|INCLUDE||TRUE|FALSE|bostonurl19.json
CM|INCLUDE||TRUE|FALSE|bostonurl2.json
CM|EXCLUDE|Not town-specific|TRUE|FALSE|bostonurl20.json
CM|INCLUDE||TRUE|FALSE|bostonurl21.json
CM|INCLUDE||TRUE|FALSE|bostonurl22.json
CM|EXCLUDE|Not town-specific|TRUE|FALSE|bostonurl23.json
CM|INCLUDE||TRUE|FALSE|bostonurl24.json
NC|INCLUDE||TRUE|TRUE|bostonurl25.json
CM|EXCLUDE|Off-topic|TRUE|FALSE|bostonurl26.json
CM|INCLUDE||FALSE|FALSE|bostonurl27.json
CM|EXCLUDE|About birds|TRUE|FALSE|bostonurl28.json
NC|INCLUDE||TRUE|TRUE|bostonurl29.json
NC|INCLUDE||TRUE|FALSE|bostonurl3.json
CM|INCLUDE||FALSE|FALSE|bostonurl30.json
NC|EXCLUDE|Not town-specific (MBTA)|TRUE|FALSE|bostonurl31.json
NC|EXCLUDE|Not town-specific (MBTA)|TRUE|FALSE|bostonurl32.json
|||FALSE|TRUE|bostonurl33.json
CM|EXCLUDE|Not town-specific|TRUE|FALSE|bostonurl34.json
CM|EXCLUDE|Not Massachusetts|FALSE|FALSE|bostonurl35.json
CM|EXCLUDE|Not town-specific|TRUE|FALSE|bostonurl36.json
CM|EXCLUDE|Not town-specific|TRUE|TRUE|bostonurl37.json
