most_common_town	n
arlington	1
belmont	1
boston	54
brookline	1
cambridge	12
chelsea	9
everett	3
lynn	3
medford	3
melrose	1
milton	1
needham	1
newton	1
quincy	2
revere	6
saugus	1
somerville	8
watertown	2
winthrop	1
